Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-2,28,-23.60570782,-6.9312612,1.0,FHNode127,Section-2_Node_28,0.25,0.035
Section-2,29,-22.5290965,-9.85975257,1.0,FHNode128,Section-2_Node_29,0.25,0.035
Section-2,30,-21.09100893,-12.62725396,1.0,FHNode129,Section-2_Node_30,0.25,0.035
Section-2,31,-19.31487282,-15.18938388,1.0,FHNode130,Section-2_Node_31,0.25,0.035
Section-2,32,-17.22953408,-17.50510065,1.0,FHNode131,Section-2_Node_32,0.25,0.035
Section-2,33,-14.86878834,-19.53735983,1.0,FHNode132,Section-2_Node_33,0.25,0.035
Section-2,34,-12.27083333,-21.25370678,1.0,FHNode133,Section-2_Node_34,0.25,0.035
Section-2,35,-9.47765082,-22.62679492,1.0,FHNode134,Section-2_Node_35,0.25,0.035
Section-2,36,-6.5343282,-23.63482142,1.0,FHNode135,Section-2_Node_36,0.25,0.035
Section-2,37,-3.48833075,-24.2618733,1.0,FHNode136,Section-2_Node_37,0.25,0.035
Section-2,38,-0.38873615,-24.4981786,1.0,FHNode137,Section-2_Node_38,0.25,0.035
Section-2,39,2.71455627,-24.34025845,1.0,FHNode138,Section-2_Node_39,0.25,0.035
Section-2,40,5.77162879,-23.7909779,1.0,FHNode139,Section-2_Node_40,0.25,0.035
Section-2,41,8.73334831,-22.85949455,1.0,FHNode140,Section-2_Node_41,0.25,0.035
Section-2,42,11.55215597,-21.56110607,1.0,FHNode141,Section-2_Node_42,0.25,0.035
Section-2,43,14.18283088,-19.91699913,1.0,FHNode142,Section-2_Node_43,0.25,0.035
Section-2,44,16.5832155,-17.95390367,1.0,FHNode143,Section-2_Node_44,0.25,0.035
Section-2,45,18.71489133,-15.70365841,1.0,FHNode144,Section-2_Node_45,0.25,0.035
Section-2,46,20.54379366,-13.20269451,1.0,FHNode145,Section-2_Node_46,0.25,0.035
